"sample","tcid50","IU_mL","treatment","infectivity_ratio","virus"
"A2","7",1.38e+08,"tet",0.000138,"FHV"
"A3","7.8333",940200000,"tet",0.0009402,"FHV"
"B2","7.386",335600000,"tet",0.0003356,"FHV"
"B3","7.9",1.096e+09,"tet",0.001096,"FHV"
"C2","7.386",335600000,"tet",0.0003356,"FHV"
"C3","7.9",1.096e+09,"tet",0.001096,"FHV"
"D2","7",1.38e+08,"wol",0.000138,"FHV"
"D3","8.4286",3.702e+09,"wol",0.003702,"FHV"
"E2","7.3333",297300000,"wol",0.0002973,"FHV"
"E3","8.3284",2.939e+09,"wol",0.002939,"FHV"
"F2","7.8824",1.053e+09,"wol",0.001053,"FHV"
"F3","7.8",870700000,"wol",0.0008707,"FHV"
