"X.Sample.","X.Dilution..a..","X.Alive..b..","X.Dead..c..","X.Cum..Alive..d..","X.Cum..Dead..e..","X.Percent.Mortality..f.."
"Sample","Dilution (a)","Alive (b)","Dead (c)","Cum. Alive (d)","Cum. Dead (e)","Percent Mortality (f)"
"A2","-6","8","0","12","0","100"
"A2","-7","4","4","4","4","50"
"A2","-8","0","8","0","12","0"
"A2","-9","0","8","0","20","0"
"A2","-10","0","8","0","28","0"
"A2","-11","0","8","0","36","0"
"A3","-6","8","0","20","0","100"
"A3","-7","8","0","12","0","100"
"A3","-8","2","6","4","6","40"
"A3","-9","2","6","2","12","14.29"
"A3","-10","0","8","0","20","0"
"A3","-11","0","8","0","28","0"
"B2","-6","8","0","15","0","100"
"B2","-7","5","3","7","3","70"
"B2","-8","2","6","2","9","18.18"
"B2","-9","0","8","0","17","0"
"B2","-10","0","8","0","25","0"
"B2","-11","0","8","0","33","0"
"B3","-6","8","0","20","0","100"
"B3","-7","8","0","12","0","100"
"B3","-8","3","5","4","5","44.44"
"B3","-9","1","7","1","12","7.69"
"B3","-10","0","8","0","20","0"
"B3","-11","0","8","0","28","0"
"C2","-6","8","0","15","0","100"
"C2","-7","5","3","7","3","70"
"C2","-8","2","6","2","9","18.18"
"C2","-9","0","8","0","17","0"
"C2","-10","0","8","0","25","0"
"C2","-11","0","8","0","33","0"
"C3","-6","8","0","20","0","100"
"C3","-7","8","0","12","0","100"
"C3","-8","3","5","4","5","44.44"
"C3","-9","1","7","1","12","7.69"
"C3","-10","0","8","0","20","0"
"C3","-11","0","8","0","28","0"
"D2","-5","8","0","19","0","100"
"D2","-6","6","2","11","2","84.62"
"D2","-7","5","3","5","5","50"
"D2","-8","0","8","0","13","0"
"D2","-9","0","8","0","21","0"
"D2","-10","0","8","0","29","0"
"D3","-6","8","0","23","0","100"
"D3","-7","8","0","15","0","100"
"D3","-8","7","1","7","1","87.5"
"D3","-9","0","8","0","9","0"
"D3","-10","0","8","0","17","0"
"D3","-11","0","8","0","25","0"
"E2","-6","8","0","14","0","100"
"E2","-7","6","2","6","2","75"
"E2","-8","0","8","0","10","0"
"E2","-9","0","8","0","18","0"
"E2","-10","0","8","0","26","0"
"E2","-11","0","8","0","34","0"
"E3","-6","8","0","22","0","100"
"E3","-7","7","1","14","1","93.33"
"E3","-8","6","2","7","3","70"
"E3","-9","1","7","1","10","9.09"
"E3","-10","0","8","0","18","0"
"E3","-11","0","8","0","26","0"
"F2","-6","8","0","19","0","100"
"F2","-7","7","1","11","1","91.67"
"F2","-8","4","4","4","5","44.44"
"F2","-9","0","8","0","13","0"
"F2","-10","0","8","0","21","0"
"F2","-11","0","8","0","29","0"
"F3","-6","8","0","19","0","100"
"F3","-7","8","0","11","0","100"
"F3","-8","3","5","3","5","37.5"
"F3","-9","0","8","0","13","0"
"F3","-10","0","8","0","21","0"
"F3","-11","0","8","0","29","0"
