"X.Sample.","X.Dilution..a..","X.Alive..b..","X.Dead..c..","X.Cum..Alive..d..","X.Cum..Dead..e..","X.Percent.Mortality..f.."
"Sample","Dilution (a)","Alive (b)","Dead (c)","Cum. Alive (d)","Cum. Dead (e)","Percent Mortality (f)"
"G1","-6","8","0","14","0","100"
"G1","-7","5","3","6","3","66.67"
"G1","-8","1","7","1","10","9.09"
"G1","-9","0","8","0","18","0"
"G1","-10","0","8","0","26","0"
"G1","-11","0","8","0","34","0"
"G2","-6","8","0","14","0","100"
"G2","-7","5","3","6","3","66.67"
"G2","-8","1","7","1","10","9.09"
"G2","-9","0","8","0","18","0"
"G2","-10","0","8","0","26","0"
"G2","-11","0","8","0","34","0"
"H1","-6","8","0","14","0","100"
"H1","-7","6","2","6","2","75"
"H1","-8","0","8","0","10","0"
"H1","-9","0","8","0","18","0"
"H1","-10","0","8","0","26","0"
"H1","-11","0","8","0","34","0"
"H2","-5","8","0","17","0","100"
"H2","-6","7","1","9","1","90"
"H2","-7","2","6","2","7","22.22"
"H2","-8","0","8","0","15","0"
"H2","-9","0","8","0","23","0"
"H2","-10","0","8","0","31","0"
"I1","-6","8","0","12","0","100"
"I1","-7","4","4","4","4","50"
"I1","-8","0","8","0","12","0"
"I1","-9","0","8","0","20","0"
"I1","-10","0","8","0","28","0"
"I1","-11","0","8","0","36","0"
"I2","-6","8","0","9","0","100"
"I2","-7","1","7","1","7","12.5"
"I2","-8","0","8","0","15","0"
"I2","-9","0","8","0","23","0"
"I2","-10","0","8","0","31","0"
"I2","-11","0","8","0","39","0"
"J1","-6","8","0","13","0","100"
"J1","-7","5","3","5","3","62.5"
"J1","-8","0","8","0","11","0"
"J1","-9","0","8","0","19","0"
"J1","-10","0","8","0","27","0"
"J1","-11","0","8","0","35","0"
"J2","-6","8","0","14","0","100"
"J2","-7","5","3","6","3","66.67"
"J2","-8","1","7","1","10","9.09"
"J2","-9","0","8","0","18","0"
"J2","-10","0","8","0","26","0"
"J2","-11","0","8","0","34","0"
"K1","-6","8","0","15","0","100"
"K1","-7","7","1","7","1","87.5"
"K1","-8","0","8","0","9","0"
"K1","-9","0","8","0","17","0"
"K1","-10","0","8","0","25","0"
"K1","-11","0","8","0","33","0"
"K2","-6","8","0","14","0","100"
"K2","-7","6","2","6","2","75"
"K2","-8","0","8","0","10","0"
"K2","-9","0","8","0","18","0"
"K2","-10","0","8","0","26","0"
"K2","-11","0","8","0","34","0"
"L1","-6","8","0","16","0","100"
"L1","-7","7","1","8","1","88.89"
"L1","-8","1","7","1","8","11.11"
"L1","-9","0","8","0","16","0"
"L1","-10","0","8","0","24","0"
"L1","-11","0","8","0","32","0"
"L2","-5","8","0","17","0","100"
"L2","-6","7","1","9","1","90"
"L2","-7","2","6","2","7","22.22"
"L2","-8","0","8","0","15","0"
"L2","-9","0","8","0","23","0"
"L2","-10","0","8","0","31","0"
